מקט	תאור
11102	חולבות נהלל מארז גדול
11103	חולבות נהלל מארז קטן
11302	חולבות מארז גדול
11402	חולבות כשל"פ מארז גדול
11403	חולבות כשל"פ מארז קטן
11502	חולבות רש"פ מארז גדול
21102	עגלות נהלל מארז גדול
21202	עגלות 7-12 מארז גדול
21203	עגלות 7-12 מארז קטן
21302	עגלות 4-6 מארז גדול
21303	עגלות 4-6 מארז קטן
21353	עגלות 4-6 כשל"פ מ.מ.ק
21362	עגלות 4-6 מוננסין מארז גדול
21363	עגלות 4-6 מוננסין מארז קטן
21472	עגלות 4-6 תרופה מארז גדול
21473	עגלות 4-6 דקוקס מארז קטן
21502	עגלות מרעה מארז גדול
21503	עגלות מרעה מארז קטן
21863	עגלי שיאון 4-6 מארז קטן
230	תחמיץ חיטה מארז קטן
31102	יבשות מארז גדול
31203	תוסף יבשות אניונים מארז קטן
31300	תערובת הכנה להמלטה בקר
31303	תערובת הכנה להמלטה בקר בשקים
41262	עגלים יבש מארז גדול
41362	עגלים נהלל מארז גדול
41363	עגלים נהלל מארז קטן
41402	עגלים ללא תרופה מארז גדול
41403	עגלים ללא תרופה מארז קטן
41472	עגלים אורופק מארז גדול
41562	עגלים אמבל מארז גדול
41663	עגלים דה לוי מארז קטן
41762	עגלים פרימיום מארז גדול
41763	עגלים פרימיום מארז קטן
41862	פרים מרעה מארז גדול
42062	עגלים נהלל מארז גדול כשל"פ
42063	עגלים נהלל מארז קטן כשל"פ
42102	פיטום וואגיו מארז גדול
42202	פיטום וואגיו בוגרים מארז גדול
51162	יונקים נהלל מארז גדול
51163	יונקים נהלל מארז קטן
51253	יונקים אורופק כשל"פ מארז קטן
51272	יונקים אורופק מארז גדול
51273	יונקים אורופק מארז קטן
51372	יונקים תרופה מארז גדול
51373	יונקים תרופה מארז קטן
51462	יונקים גס מארז גדול
51552	יונקים נהלל כשל"פ מארז גדול
51553	יונקים נהלל כשל"פ מארז קטן
51662	יונקים בוגרים מארז גדול
51663	יונקים בוגרים מארז קטן
51762	יונקים בוגרים א"ת מארז גדול
51772	יונקים בוגרים אורופק א"ת מארז גדול
51872	יונקים אורופק א"ת מארז גדול
61102	כבשים לחלב מארז גדול
61103	כבשים לחלב מארז קטן
61153	כבשים לחלב כשל"פ מארז קטן
61202	עיזים לחלב מארז גדול
61302	קיום צאן מארז גדול
61303	קיום צאן מארז קטן
61402	קיום צאן יבש מארז גדול
61502	עיזים פקולטה מארז גדול
61702	אמהות צאן מניקות מארז גדול
61703	אמהות צאן מניקות מארז קטן
61802	פיטום טלאים מארז גדול
61803	פיטום טלאים מארז קטן
61903	יונקים צאן מארז קטן
62002	הכנה להמלטה צאן מארז גדול
62003	הכנה להמלטה צאן מארז קטן
62202	כבשים לחלב יבש מארז גדול
62402	עיזים לחלב יבש מארז גדול
62503	מנת ביקורת מארז קטן
62602	תחמיץ מורינגה מארז גדול
62603	מנת ניסוי מארז קטן
62702	צאן איילים מארז גדול
62703	צאן איילים מארז קטן
63002	קיום צאן מארז גדול כשל"פ
63003	קיום צאן מארז קטן כשל"פ
67100	תערובת צאן 14%
67103	תערובת צאן 14% בשקים
67200	תערובת צאן 16%
67203	תערובת צאן 16% בשקים
67300	תערובת צאן 18%
67303	תערובת צאן 18% בשקים
67400	תערובת גרעינים לצאן
67403	תערובת גרעינים לצאן בשקים
67500	תערובת קמחים
67503	תערובת קמחים בשקים
67600	תערובת גרעינים וכופתיות - חג'אגרה
67603	תערובת העמק - בשקים
67703	תערובת כופתיות צאן 18% בשקים
67800	חלטה 14% לצאן
67803	חלטה 14% לצאן בשקים
67900	תערובת 14% אספסת
67903	תערובת 14% אספסת בשקים
71102	בסיס מארז גדול
71103	בסיס מארז קטן
71202	בסיס גס מארז גדול
71302	בסיס סויה מארז גדול
71303	בסיס סויה מארז קטן
71402	ספורט מארז גדול
71403	ספורט מארז קטן
71502	ספורט פרו מארז גדול
71503	ספורט פרו מארז קטן
71602	סוסים קיץ מארז גדול
72102	דגן מקוצץ מארז גדול
72103	דגן מקוצץ מארז קטן
72202	שיבולת מקוצצת מארז גדול
72203	שיבולת מקוצצת מארז קטן
72302	דגן אספסת 30/70 מארז גדול
72303	דגן אספסת 30/70 מארז קטן
72402	אספסת קצוצה מארז גדול
72403	אספסת מקוצצת מארז קטן
72502	שיבולת אספסת 30/70 מארז גדול
72503	שיבולת אספסת 30/70 מארז קטן
72602	דגן אספסת 50/50 מארז גדול
72702	תלתן מקוצץ מארז גדול
72703	תלתן מקוצץ מארז קטן
73100	גרנולה 12%
73103	גרנולה 12% בשקים 25 ק"ג
73200	גרנולה 14%  פרימיום
73203	גרנולה פרימיום בשקים 25 ק"ג
73300	גרנולה סוסים 11%
73303	גרנולה סוסים 11% 25 ק"ג
73400	גרנולה סוסים ניבה
73403	גרנולה סוסים ניבה בשק 25 ק"ג
83003	חיטה שלמה בשקים 25
83013	חיטה לחוצה בשקים 25
83103	שעורה שלמה שקים 25
83113	שעורה לחוצה בשקים 25
83202	תירס שלם בשק ענק
83203	תירס שלם בשקים 25
83213	תירס לחוץ בשקים 25
83583	כוספת סויה 48 שק 25 ק"ג
83603	סובין בשקים 25 ק"ג
91102	אלפקות גס מארז גדול
91103	אלפקות גס מארז קטן
91202	גמלים קיום מארז גדול
91203	גמלים קיום מארז קטן
92100	אפרוחים ניבה
92103	אפרוחים ארוז בשק 25 ק"ג
92200	מטילות ניבה
92203	מטילות ארוז בשק 25 ק"ג
92300	תערובת יונים
92303	תערובת יונים בשקים 25 ק"ג
